FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,Unnamed: 29
B1665BRE_Splice17_003.txt,M,,Museums Victoria,,B1665,,Passeriformes,Monarchidae,Myiagra,rubecula,,female,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2017-09-15,breast ,45,0,45,0,3,,
B18749BEL_Splice17_1.txt,M,,Museums Victoria,,B18749,,Accipitriformes,Accipitridae,Aquila,audax,,unknown,immature,Australia,Wyperfeld Nat. Park,-35.57,142.12,,,1977,2013-01-16,belly ,45,0,45,0,1,,
B18749BEL_Splice17_2.txt,M,,Museums Victoria,,B18749,,Accipitriformes,Accipitridae,Aquila,audax,,unknown,immature,Australia,Wyperfeld Nat. Park,-35.57,142.12,,,1977,2013-01-16,belly ,45,0,45,0,2,,
B18749BEL_Splice17_3.txt,M,,Museums Victoria,,B18749,,Accipitriformes,Accipitridae,Aquila,audax,,unknown,immature,Australia,Wyperfeld Nat. Park,-35.57,142.12,,,1977,2013-01-16,belly ,45,0,45,0,3,,
B19505mBEL_Splice17_1.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly middle,45,0,45,0,1,,
B19505mBEL_Splice17_2.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly middle,45,0,45,0,2,,
B19505mBEL_Splice17_3.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly middle,45,0,45,0,3,,
B19505sBEL_Splice17_1.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly side,45,0,45,0,1,,
B19505sBEL_Splice17_2.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly side,45,0,45,0,2,,
B19505sBEL_Splice17_3.txt,M,,Museums Victoria,,B19505,,Charadriiformes,Recurvirostridae,Cladorhynchus,leucocephalus,,female,adult,Australia,Port Augusta,-32.5,137.77,,,1993,2005-02-16,belly side,45,0,45,0,3,,
B2036BEL_Splice17_1.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,belly ,45,0,45,0,1,,
B2036BEL_Splice17_2.txt,M,,Museums Victoria,,B2036,,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,,male,adult,Australia,"Bunya Mountains, near Dalby",-26.85,151.57,,,1940,2002-08-16,belly ,45,0,45,0,2,,
