FileName,DataSource,UniqueID,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments,
B10202MNTL_Splice17_3,M,,Museums Victoria,,B10202,,Pelecaniformes,Phalacrocoracidae,Microcarbo,melanoleucos,,female,adult,Australia,"Werribee, MMBW Farm, Lake Borrie",-38.02,144.57,,,1959,2026-10-15,mantle ,45,0,45,0,3,"Nice clean feathers, to replace other dirtier specimens",
B10205BEL_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,belly ,45,0,45,0,1,,
B10205BEL_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,belly ,45,0,45,0,2,,
B10205BEL_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,belly ,45,0,45,0,3,,
B10205BRE_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,breast ,45,0,45,0,1,,
B10205BRE_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,breast ,45,0,45,0,2,,
B10205BRE_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,breast ,45,0,45,0,3,,
B10205CRW_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,crown ,45,0,45,0,1,,
B10205CRW_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,crown ,45,0,45,0,2,,
B10205CRW_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,crown ,45,0,45,0,3,,
B10205FRH_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,forehead ,45,0,45,0,1,,
B10205FRH_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,forehead ,45,0,45,0,2,,
B10205FRH_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,forehead ,45,0,45,0,3,,
B10205LMNTL_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle lower,45,0,45,0,1,,
B10205LMNTL_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle lower,45,0,45,0,2,,
B10205LMNTL_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle lower,45,0,45,0,3,,
B10205UMNTL_Splice17_1,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle upper,45,0,45,0,1,,
B10205UMNTL_Splice17_2,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle upper,45,0,45,0,2,,
B10205UMNTL_Splice17_3,M,,Museums Victoria,,B10205,,Columbiformes,Columbidae,Phaps,elegans,,male,adult,Australia,Phillip Is,-38.47,145.23,,,1969,2012-05-16,mantle upper,45,0,45,0,3,,
